postal_code,borough,neighborhood,Latitude,Longitude
M1B,North York,Parkwoods,43.8066863,-79.1943534
M1C,North York,Victoria Village,43.7845351,-79.1604971
M1E,Downtown Toronto,"Regent Park , Harbourfront",43.7635726,-79.1887115
M1G,North York,"Lawrence Manor , Lawrence Heights",43.7709921,-79.2169174
M1H,Queen,Ontario Provincial Government,43.773136,-79.2394761
M1J,Etobicoke,Islington Avenue,43.7447342,-79.2394761
M1K,Scarborough,"Malvern , Rouge",43.7279292,-79.2620294
M1L,North York,Don Mills,43.7111117,-79.2845772
M1M,East York,"Parkview Hill , Woodbine Gardens",43.716316,-79.2394761
M1N,Downtown Toronto,Garden District,43.692657,-79.2648481
M1P,North York,Glencairn,43.7574096,-79.273304
M1R,Etobicoke,"West Deane Park , Princess Gardens , Martin Grove , Islington , Cloverdale",43.7500715,-79.2958491
M1S,Scarborough,"Rouge Hill , Port Union , Highland Creek",43.7942003,-79.2620294
M1T,North York,Don Mills,43.7816375,-79.3043021
M1V,East York,Woodbine Heights,43.8152522,-79.2845772
M1W,Downtown Toronto,St,43.7995252,-79.3183887
M1X,York,Humewood,43.8361247,-79.2056361
M2H,Etobicoke,"Eringate , Bloordale Gardens , Old Burnhamthorpe , Markland Wood",43.8037622,-79.3634517
M2J,Scarborough,"Guildwood , Morningside , West Hill",43.7785175,-79.3465557
M2K,East Toronto,The Beaches,43.7869473,-79.385975
M2L,Downtown Toronto,Berczy Park,43.7574902,-79.3747141
M2M,York,Caledonia,43.789053,-79.4084928
M2N,Scarborough,Woburn,43.7701199,-79.4084928
M2P,East York,Leaside,43.7527583,-79.4000493
M2R,Downtown Toronto,Central Bay Street,43.7827364,-79.4422593
M3A,Downtown Toronto,Christie,43.7532586,-79.3296565
M3B,Scarborough,Cedarbrae,43.7459058,-79.352188
M3C,North York,Hillcrest Village,43.7258997,-79.340923
M3H,North York,"Bathurst Manor , Wilson Heights , Downsview North",43.7543283,-79.4422593
M3J,East York,Thorncliffe Park,43.7679803,-79.4872619
M3K,Downtown Toronto,"Richmond , Adelaide , King",43.7374732,-79.4647633
M3L,West Toronto,"Dufferin , Dovercourt Village",43.7390146,-79.5069436
M3M,Scarborough,Scarborough Village,43.7284964,-79.4956974
M3N,North York,"Fairview , Henry Farm , Oriole",43.7616313,-79.5209994
M4A,North York,"Northwood Park , York University",43.7258823,-79.3155716
M4B,East YorkEast Toronto,The Danforth  East,43.7063972,-79.309937
M4C,Downtown Toronto,"Harbourfront East , Union Station , Toronto Islands",43.6953439,-79.3183887
M4E,West Toronto,"Little Portugal , Trinity",43.6763574,-79.2930312
